,Place_Id,Place_Name,image
0,1,Monumen Nasional,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Jakarta_Indonesia_National-Monument-02.jpg/1200px-Jakarta_Indonesia_National-Monument-02.jpg
1,2,Kota Tua,https://upload.wikimedia.org/wikipedia/commons/b/be/Kota-tua-jakarta_waktu_malam.jpg
2,3,Dunia Fantasi,https://upload.wikimedia.org/wikipedia/commons/0/02/Dunia_Fantasi_Ancol.JPG
3,4,Taman Mini Indonesia Indah (TMII),https://image.kkday.com/v2/image/get/w_960%2Cc_fit%2Cq_55%2Ct_webp/s1.kkday.com/product_151728/20230908092726_NpYyH/png
4,5,Atlantis Water Adventure,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/d7/39/46/one-of-the-children-pools.jpg?w=1200&h=-1&s=1
5,6,Taman Impian Jaya Ancol,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=596904629148003
6,7,Kebun Binatang Ragunan,https://www.shutterstock.com/shutterstock/photos/2004243221/display_1500/stock-photo-kebun-binatang-ragunan-jakarta-indonesia-pelicans-in-the-zoo-during-the-day-2004243221.jpg
7,8,Ocean Ecopark,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/60/a4/15/ocean-ecopark-ancol.jpg?w=200&h=-1&s=1
8,9,Pelabuhan Marina,https://asset.kompas.com/crops/AURervtnQldwSLiR2C8kBDNixIo=/93x0:600x338/750x500/data/photo/2023/01/28/63d4d5b0e735d.jpeg
9,10,Pulau Tidung,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/d0/46/4a/pulau-tidung.jpg?w=1200&h=-1&s=1
10,11,Pulau Bidadari,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/7c/47/c4/pulau-bidadari-resort.jpg?w=700&h=-1&s=1
11,12,Pulau Pari,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/95/0b/9f/pulau-macan-tiger-islands.jpg?w=300&h=-1&s=1
12,13,Pulau Pramuka,https://i.ytimg.com/vi/qbMYPCKqtSI/maxresdefault.jpg
13,14,Pulau Pelangi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/97/21/c2/pelangi-island-resort.jpg?w=700&h=-1&s=1
14,15,Pasar Seni,https://www.tripsavvy.com/thmb/LvYug1H1_WBivbDEnHV_Y-s7PAM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/centralMarket-59c387f768e1a200144eca95.jpg
15,16,Jembatan Kota Intan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Jembatan_Kota_Intan_2017-08-22_%2813%29.jpg/1200px-Jembatan_Kota_Intan_2017-08-22_%2813%29.jpg
16,17,Museum Fatahillah,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Jakarta_Indonesia_Jakarta-History-Museum-02.jpg/300px-Jakarta_Indonesia_Jakarta-History-Museum-02.jpg
17,18,Museum Bank Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Jakarta_Indonesia_Museum-Bank-Indonesia-02.jpg/1200px-Jakarta_Indonesia_Museum-Bank-Indonesia-02.jpg
18,19,Kidzania,https://www.wipo.int/export/sites/www/wipo_magazine/images/en/2019/2019_05_art_4_1_845.jpg
19,20,Museum Taman Prasasti,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Tamanprasasti.jpg/150px-Tamanprasasti.jpg
20,21,Museum Wayang,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Museum_Wayang.jpg/1200px-Museum_Wayang.jpg
21,22,Masjid Istiqlal,https://images.squarespace-cdn.com/content/v1/60f899eff725173714599865/30b4092d-e9a0-47c8-98bc-a2fdf19cbdd7/LOGO+MASJID+ISTIQLAL+HOUSTON-+fullcolor+on+white+%282%29.jpg
22,23,Gereja Katedral,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Jakarta_Cathedral_Afternoon.JPG/220px-Jakarta_Cathedral_Afternoon.JPG
23,24,Museum Nasional,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Museum_Nasional_Indonesia.jpg/640px-Museum_Nasional_Indonesia.jpg
24,25,Pasar Tanah Abang,https://images.bisnis.com/posts/2023/09/23/1697843/pedagang_pakaian_di_tanah_abang_1694430715.jpg
25,26,Pecinan Glodok,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Gateway_to_Glodok_Chinatown%2C_Jakarta.jpg/1200px-Gateway_to_Glodok_Chinatown%2C_Jakarta.jpg
26,27,Sea World,https://seaworld.com/orlando/-/media/seaworld-orlando/images/rides/pipeline/357x229-swo-2023-coasters-pipeline.ashx?version=1_202306072725&mw=357&mh=229&as=0&hash=3D8656BB3FF98A9F48FC4FCB5DAFF2DA0CDC07B1
27,28,Wisata Agro Edukatif Istana Susu Cibugary,https://blog.pigijo.com/wp-content/uploads/2022/07/Istana-susu-Cibugary.jpg
28,29,Wisata Kuliner Pecenongan,https://gallery.poskota.co.id/storage/Foto/IMG_20231227_172817.jpg
29,30,Taman Menteng,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Taman_Menteng.jpg/640px-Taman_Menteng.jpg
30,31,Wisata Alam Mangrove Angke,https://cdn.antaranews.com/cache/1200x800/2022/12/01/WhatsApp-Image-2022-11-29-at-4.14.35-PM.jpeg
31,32,Setu Babakan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Setu_Babakan.jpg/1200px-Setu_Babakan.jpg
32,33,Taman Suropati,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/2a/37/82/photo5jpg.jpg?w=1200&h=1200&s=1
33,34,Pasar Taman Puring,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e4/d8/58/img-20170715-wa0009-largejpg.jpg?w=1200&h=1200&s=1
34,35,Grand Indonesia Mall,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Grand_Indonesia_Mall.jpg/1200px-Grand_Indonesia_Mall.jpg
35,36,Skyrink - Mall Taman Anggrek,http://www.taman-anggrek-mall.com/public/uploads/2015/07/Sky%20Rink_poster.jpg
36,37,Bumi Perkemahan Cibubur,https://fastly.4sqi.net/img/general/600x600/17388142_HVjA1wHkB1kFFL-lwP8TSrLabvycEVyy8dJsJdmoHOw.jpg
37,38,Istana Negara Republik Indonesia,https://dprd-indramayukab.go.id/wp-content/uploads/2023/06/istpres.jpg
38,39,Museum Macan (Modern and Contemporary Art in Nusantara),https://img.jakpost.net/c/2018/08/17/2018_08_17_51730_1534513536._large.jpg
39,40,Galeri Nasional Indonesia,https://culture360.asef.org/media/2011/7/Galeri_Nasional_Indonesia.jpeg
40,41,Museum Bahari Jakarta,https://live.staticflickr.com/5251/5562079481_4ce5e9e2c6_b.jpg
41,42,Museum Seni Rupa dan Kramik,https://upload.wikimedia.org/wikipedia/commons/e/e3/Batavia_Kota_Tua_-_Museum_of_Fine_Arts.jpg
42,43,The Escape Hunt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/16/d8/d7/the-escape-hunt-experience.jpg?w=1200&h=-1&s=1
43,44,Monumen Selamat Datang,https://upload.wikimedia.org/wikipedia/commons/5/5b/Monumen_dan_bundaran_Jakarta.jpg
44,45,Jakarta Aquarium dan Safari,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201280gsm/events/2021/12/08/d408eb52-5459-41b7-b136-455bf66b4874-1638949824913-fb6a74fe056f99f3d4c0ecd9cb50a2e4.jpg
45,46,Pulau Semak Daun,https://pulauseribu.co.id/wp-content/uploads/Pesona-Pulau-Semak-Daun-Kepulauan-Seribu.jpg
